id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
7341,캐리 2,The Rage: Carrie 2,1999,호러 스릴러 SF,4.25,5.1,79,,캣쉐어,에밀리베글 제이슨런던,
10213,황혼에서 새벽까지 3,From Dusk Till Dawn 3: The Hangman's Daughter,1999,서부 호러 스릴러,4.74,4.6,79,,P.J.페시,마르코레오나르디 마이클팍스 테무에라모리슨 레베카게이하트,
23685,멍키본,Monkeybone,2001,어드벤쳐 판타지 애니메이션 액션 코미디,7.39,4.2,79,,헨리셀릭,브렌든프레이저 브리짓폰다,
15917,데브다스,Devdas,2002,드라마 로맨스,9.11,7.4,78,,산제이릴라반살리,샤룩칸 마두리딕시 아이쉬와라라이,
20,나 없는 내 인생,My Life Without Me,2003,드라마 로맨스,8.33,7.2,78,,이자벨코이젯트,사라폴리 마크러팔로,
14624,최고의 유산,The Ultimate Gift,2006,로맨스 드라마 가족,7.5,6.8,78,,마이클O.사이벨,드류풀러 제임스가너,
9389,르네상스,Renaissance,2006,액션 애니메이션 SF,7.62,6.7,78,,크리스티안볼크만,다니엘크레이그 패트릭플로어쉐임 캐서린맥코맥 로라블랑크 로몰라가레이 조나단프라이스 가브리엘르도즈 이안홈 릭워든 커보크말리키안,
8954,레저베이션 로드,Reservation Road,2007,드라마 범죄 스릴러,7.81,6.6,78,,테리조지,호아킨피닉스 엘르패닝 마크러팔로 제니퍼코넬리 미라소르비노,
14305,안드로메다의 위기,The Andromeda Strain,2008,로맨스 SF 스릴러,6.64,6.3,78,,미카엘살로먼,벤자민브랫 에릭맥코맥,
221667,생 로랑,Saint Laurent,2014,드라마,6.74,6,78,3,베르트랑보넬로,레아세이두 가스파르울리엘 제레미레니에 루이가렐 발레리아브루니테데스키 아이멜린발라드, 시대의 격랑 위를 미끄러지는 어느 예술가의 음화와 양화.
10411,제이제이,The Distinguished Gentleman,1992,코미디,8.24,5.7,78,,조나단린,에디머피,
